,,,,,,,,,,,,,
,,,,,,,,,Stop 1,,,,
Today,14/03/2024,,,,,, ,,24.27%,"51,500,000","50,000","12,500,000",
Season,Truck owner, , ,Week,Pick up date,District,Status, ,Arrival time at Stop 1,# of farmers,Sector,Site,Volume 1 in kgs
2023A,Internal,,,13-Feb,2/15/2023,Nyagatare,#REF!,,6:00 AM,3,Karangazi,Rwentenga,"12,436"
2023A,Internal,,,13-Feb,2/15/2023,Nyagatare,#REF!,,6:00 AM,3,Karangazi,Karangaza,"12,615"
2023A,Internal,,,13-Feb,2/15/2023,Nyagatare,#REF!,,7:00 AM,2,Rwempasha,Kimaramu,"11,945"
2023A,IZ Service,,,13-Feb,2/16/2023,Nyagatare,#REF!,,12:00,2,Musheli,Nyagatabire,"9,631"
2023A,IZ Service,,,13-Feb,2/16/2023,Nyagatare,#REF!,,15:30,1,Musheli,Nyagatabire,"9,068"
2023A,IZ Service,,,13-Feb,2/16/2023,Nyagatare,#REF!,,10:10,7,Matimba,Rwentenga,"10,049"
2023A,IZ Service,,,13-Feb,2/16/2023,Nyagatare,#REF!,,14:00,4,Matimba,Rwentanga,"8,675"
2023A,IZ Service,,,13-Feb,2/16/2023,Gatsibo,#REF!,,12:08:00 PM,4,Rwimbogo,Kidugudu,"9,712"
2023A,IZ Service,,,13-Feb,2/16/2023,Gatsibo,#REF!,,09:20,10,Rugarama,Rugarama,"10,579"
2023A,IZ Service,,,13-Feb,2/16/2023,Gatsibo,#REF!,,12:07,7,Kiziguro,Kiziguro,"8,772"
2023A,Internal,,,13-Feb,2/17/2023,Nyagatare,#REF!,,10:20,3,Rwempasha,Rwempasha,"12,991"
2023A,IZ Service,,,13-Feb,2/17/2023,Nyagatare,#REF!,,12:56,4,Matimba,Rwentanga,"9,297"
2023A,IZ Service,,,13-Feb,2/17/2023,Nyagatare,#REF!,,18:50,5,Matimba,Rwentanga,"9,687"
2023A,IZ Service,,,13-Feb,2/17/2023,Nyagatare,#REF!,,13:00,1,Karangazi,Karama,"10,331"
